start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	1047	96.98
705	1476	+	amplicon_28	1	1254	100.0
1257	1960	+	amplicon_1	0	981	100.0
1706	2410	+	amplicon_29	1	874	100.0
2140	2904	+	amplicon_2	0	1174	100.0
2715	3484	+	amplicon_30	1	464	100.0
3144	3885	+	amplicon_3	0	465	100.0
3685	4423	+	amplicon_31	1	468	100.0
4282	5025	+	amplicon_4	0	1692	100.0
4775	5550	+	amplicon_32	1	2518	100.0
5293	6038	+	amplicon_5	0	1543	100.0
5795	6560	+	amplicon_33	1	1137	100.0
6363	7120	+	amplicon_6	0	616	100.0
7000	7770	+	amplicon_34	1	324	100.0
7577	8328	+	amplicon_7	0	452	100.0
8174	8890	+	amplicon_35	1	242	100.0
8694	9400	+	amplicon_8	0	377	100.0
9221	9969	+	amplicon_36	1	967	100.0
9644	10387	+	amplicon_9	0	1959	100.0
10078	10836	+	amplicon_37	1	1711	100.0
10670	11469	+	amplicon_10	0	1181	98.88
11221	11945	+	amplicon_38	1	1777	98.76
11796	12560	+	amplicon_11	0	1315	96.99
12419	13185	+	amplicon_39	1	314	45.37
13034	13832	+	amplicon_12	0	964	98.25
13479	14203	+	amplicon_40	1	999	100.0
14015	14787	+	amplicon_13	0	575	100.0
14620	15362	+	amplicon_41	1	686	100.0
15089	15858	+	amplicon_14	0	2163	100.0
15532	16258	+	amplicon_42	1	2785	100.0
16007	16719	+	amplicon_15	0	1005	100.0
16570	17343	+	amplicon_43	1	879	100.0
17149	17854	+	amplicon_16	0	1460	100.0
17561	18311	+	amplicon_44	1	1616	100.0
18100	18899	+	amplicon_17	0	1132	100.0
18674	19402	+	amplicon_45	1	960	100.0
19276	19981	+	amplicon_18	0	1312	100.0
19844	20632	+	amplicon_46	1	780	100.0
20462	21226	+	amplicon_19	0	970	100.0
20889	21608	+	amplicon_47	1	1586	100.0
21294	22098	+	amplicon_20	0	1204	97.76
21893	22649	+	amplicon_48	1	703	99.08
22432	23225	+	amplicon_21	0	697	99.62
23103	23814	+	amplicon_49	1	204	100.0
23489	24202	+	amplicon_22	0	269	100.0
24042	24808	+	amplicon_50	1	1195	100.0
24545	25283	+	amplicon_23	0	1992	100.0
25053	25791	+	amplicon_51	1	754	100.0
25665	26366	+	amplicon_24	0	951	100.0
26197	26960	+	amplicon_52	1	834	100.0
26820	27602	+	amplicon_25	0	371	100.0
27448	28199	+	amplicon_53	1	1248	100.0
27986	28723	+	amplicon_26	0	806	98.78
28474	29232	+	amplicon_54	1	512	100.0
29101	29847	+	amplicon_27	0	958	93.31
