start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	2154	96.98
705	1476	+	amplicon_28	1	3000	100.0
1257	1960	+	amplicon_1	0	2317	100.0
1706	2410	+	amplicon_29	1	1620	100.0
2140	2904	+	amplicon_2	0	2055	100.0
2715	3484	+	amplicon_30	1	552	100.0
3144	3885	+	amplicon_3	0	123	100.0
3685	4423	+	amplicon_31	1	429	100.0
4282	5025	+	amplicon_4	0	3322	100.0
4775	5550	+	amplicon_32	1	4727	100.0
5293	6038	+	amplicon_5	0	1971	100.0
5795	6560	+	amplicon_33	1	459	100.0
6363	7120	+	amplicon_6	0	167	100.0
7000	7770	+	amplicon_34	1	151	100.0
7577	8328	+	amplicon_7	0	370	100.0
8174	8890	+	amplicon_35	1	182	77.68
8694	9400	+	amplicon_8	0	404	96.75
9221	9969	+	amplicon_36	1	1340	100.0
9644	10387	+	amplicon_9	0	3414	100.0
10078	10836	+	amplicon_37	1	3133	100.0
10670	11469	+	amplicon_10	0	2341	99.75
11221	11945	+	amplicon_38	1	3577	99.72
11796	12560	+	amplicon_11	0	3047	96.99
12419	13185	+	amplicon_39	1	772	32.59
13034	13832	+	amplicon_12	0	2288	97.37
13479	14203	+	amplicon_40	1	2102	100.0
14015	14787	+	amplicon_13	0	1586	100.0
14620	15362	+	amplicon_41	1	1514	100.0
15089	15858	+	amplicon_14	0	4791	100.0
15532	16258	+	amplicon_42	1	7113	100.0
16007	16719	+	amplicon_15	0	2561	100.0
16570	17343	+	amplicon_43	1	1268	100.0
17149	17854	+	amplicon_16	0	3392	100.0
17561	18311	+	amplicon_44	1	4930	100.0
18100	18899	+	amplicon_17	0	3004	100.0
18674	19402	+	amplicon_45	1	3081	100.0
19276	19981	+	amplicon_18	0	3464	96.74
19844	20632	+	amplicon_46	1	562	33.33
20462	21226	+	amplicon_19	0	1381	96.99
20889	21608	+	amplicon_47	1	2661	100.0
21294	22098	+	amplicon_20	0	1379	94.66
21893	22649	+	amplicon_48	1	249	49.41
22432	23225	+	amplicon_21	0	475	96.85
23103	23814	+	amplicon_49	1	126	100.0
23489	24202	+	amplicon_22	0	239	100.0
24042	24808	+	amplicon_50	1	2019	100.0
24545	25283	+	amplicon_23	0	3674	100.0
25053	25791	+	amplicon_51	1	1428	100.0
25665	26366	+	amplicon_24	0	1377	97.15
26197	26960	+	amplicon_52	1	293	77.49
26820	27602	+	amplicon_25	0	382	56.32
27448	28199	+	amplicon_53	1	2332	96.81
27986	28723	+	amplicon_26	0	1874	99.46
28474	29232	+	amplicon_54	1	1650	100.0
29101	29847	+	amplicon_27	0	2810	93.31
