start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	2087	96.98
705	1476	+	amplicon_28	1	2045	100.0
1257	1960	+	amplicon_1	0	1492	100.0
1706	2410	+	amplicon_29	1	1177	100.0
2140	2904	+	amplicon_2	0	1403	100.0
2715	3484	+	amplicon_30	1	565	100.0
3144	3885	+	amplicon_3	0	595	100.0
3685	4423	+	amplicon_31	1	464	100.0
4282	5025	+	amplicon_4	0	1880	100.0
4775	5550	+	amplicon_32	1	4020	100.0
5293	6038	+	amplicon_5	0	2237	100.0
5795	6560	+	amplicon_33	1	1473	97.0
6363	7120	+	amplicon_6	0	345	36.02
7000	7770	+	amplicon_34	1	337	97.02
7577	8328	+	amplicon_7	0	430	100.0
8174	8890	+	amplicon_35	1	273	100.0
8694	9400	+	amplicon_8	0	539	100.0
9221	9969	+	amplicon_36	1	1003	100.0
9644	10387	+	amplicon_9	0	2076	100.0
10078	10836	+	amplicon_37	1	2375	100.0
10670	11469	+	amplicon_10	0	1536	99.12
11221	11945	+	amplicon_38	1	3014	99.03
11796	12560	+	amplicon_11	0	2263	96.99
12419	13185	+	amplicon_39	1	464	32.59
13034	13832	+	amplicon_12	0	1354	97.37
13479	14203	+	amplicon_40	1	1519	100.0
14015	14787	+	amplicon_13	0	566	100.0
14620	15362	+	amplicon_41	1	946	100.0
15089	15858	+	amplicon_14	0	3528	100.0
15532	16258	+	amplicon_42	1	4902	100.0
16007	16719	+	amplicon_15	0	1799	100.0
16570	17343	+	amplicon_43	1	1633	100.0
17149	17854	+	amplicon_16	0	2620	100.0
17561	18311	+	amplicon_44	1	2665	100.0
18100	18899	+	amplicon_17	0	1365	100.0
18674	19402	+	amplicon_45	1	1280	100.0
19276	19981	+	amplicon_18	0	1408	100.0
19844	20632	+	amplicon_46	1	686	96.96
20462	21226	+	amplicon_19	0	954	60.65
20889	21608	+	amplicon_47	1	1938	97.08
21294	22098	+	amplicon_20	0	857	97.64
21893	22649	+	amplicon_48	1	146	95.9
22432	23225	+	amplicon_21	0	41	36.9
23103	23814	+	amplicon_49	1	116	96.63
23489	24202	+	amplicon_22	0	328	100.0
24042	24808	+	amplicon_50	1	1614	100.0
24545	25283	+	amplicon_23	0	2118	100.0
25053	25791	+	amplicon_51	1	891	100.0
25665	26366	+	amplicon_24	0	1573	100.0
26197	26960	+	amplicon_52	1	1237	97.12
26820	27602	+	amplicon_25	0	496	31.93
27448	28199	+	amplicon_53	1	2162	96.81
27986	28723	+	amplicon_26	0	1433	99.73
28474	29232	+	amplicon_54	1	790	100.0
29101	29847	+	amplicon_27	0	1478	93.31
