start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	3102	96.98
705	1476	+	amplicon_28	1	3260	100.0
1257	1960	+	amplicon_1	0	2401	100.0
1706	2410	+	amplicon_29	1	1995	100.0
2140	2904	+	amplicon_2	0	2760	100.0
2715	3484	+	amplicon_30	1	901	100.0
3144	3885	+	amplicon_3	0	590	100.0
3685	4423	+	amplicon_31	1	935	100.0
4282	5025	+	amplicon_4	0	3724	100.0
4775	5550	+	amplicon_32	1	5587	100.0
5293	6038	+	amplicon_5	0	3675	100.0
5795	6560	+	amplicon_33	1	2783	100.0
6363	7120	+	amplicon_6	0	1348	100.0
7000	7770	+	amplicon_34	1	574	100.0
7577	8328	+	amplicon_7	0	742	100.0
8174	8890	+	amplicon_35	1	415	100.0
8694	9400	+	amplicon_8	0	926	100.0
9221	9969	+	amplicon_36	1	2474	100.0
9644	10387	+	amplicon_9	0	4749	100.0
10078	10836	+	amplicon_37	1	3847	100.0
10670	11469	+	amplicon_10	0	2979	99.75
11221	11945	+	amplicon_38	1	4185	99.72
11796	12560	+	amplicon_11	0	3159	100.0
12419	13185	+	amplicon_39	1	807	99.09
13034	13832	+	amplicon_12	0	2249	100.0
13479	14203	+	amplicon_40	1	2147	100.0
14015	14787	+	amplicon_13	0	1432	100.0
14620	15362	+	amplicon_41	1	1521	100.0
15089	15858	+	amplicon_14	0	4017	100.0
15532	16258	+	amplicon_42	1	4932	100.0
16007	16719	+	amplicon_15	0	1848	100.0
16570	17343	+	amplicon_43	1	1797	100.0
17149	17854	+	amplicon_16	0	3228	100.0
17561	18311	+	amplicon_44	1	3818	100.0
18100	18899	+	amplicon_17	0	2936	100.0
18674	19402	+	amplicon_45	1	2487	100.0
19276	19981	+	amplicon_18	0	3476	100.0
19844	20632	+	amplicon_46	1	1686	100.0
20462	21226	+	amplicon_19	0	1940	100.0
20889	21608	+	amplicon_47	1	3298	100.0
21294	22098	+	amplicon_20	0	2549	98.26
21893	22649	+	amplicon_48	1	1583	99.47
22432	23225	+	amplicon_21	0	1463	99.62
23103	23814	+	amplicon_49	1	371	100.0
23489	24202	+	amplicon_22	0	455	100.0
24042	24808	+	amplicon_50	1	2355	100.0
24545	25283	+	amplicon_23	0	4271	100.0
25053	25791	+	amplicon_51	1	1630	100.0
25665	26366	+	amplicon_24	0	2147	100.0
26197	26960	+	amplicon_52	1	2051	100.0
26820	27602	+	amplicon_25	0	383	100.0
27448	28199	+	amplicon_53	1	2705	100.0
27986	28723	+	amplicon_26	0	2168	99.73
28474	29232	+	amplicon_54	1	1356	100.0
29101	29847	+	amplicon_27	0	2750	93.31
