start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	2269	96.98
705	1476	+	amplicon_28	1	2454	100.0
1257	1960	+	amplicon_1	0	1702	100.0
1706	2410	+	amplicon_29	1	1351	100.0
2140	2904	+	amplicon_2	0	1858	100.0
2715	3484	+	amplicon_30	1	612	100.0
3144	3885	+	amplicon_3	0	452	100.0
3685	4423	+	amplicon_31	1	710	100.0
4282	5025	+	amplicon_4	0	2948	100.0
4775	5550	+	amplicon_32	1	4761	100.0
5293	6038	+	amplicon_5	0	2717	100.0
5795	6560	+	amplicon_33	1	2060	100.0
6363	7120	+	amplicon_6	0	808	100.0
7000	7770	+	amplicon_34	1	380	100.0
7577	8328	+	amplicon_7	0	484	100.0
8174	8890	+	amplicon_35	1	247	100.0
8694	9400	+	amplicon_8	0	537	100.0
9221	9969	+	amplicon_36	1	1566	100.0
9644	10387	+	amplicon_9	0	3073	100.0
10078	10836	+	amplicon_37	1	2690	100.0
10670	11469	+	amplicon_10	0	2133	99.5
11221	11945	+	amplicon_38	1	3313	99.45
11796	12560	+	amplicon_11	0	2233	100.0
12419	13185	+	amplicon_39	1	538	98.44
13034	13832	+	amplicon_12	0	1467	100.0
13479	14203	+	amplicon_40	1	1460	100.0
14015	14787	+	amplicon_13	0	913	100.0
14620	15362	+	amplicon_41	1	1019	100.0
15089	15858	+	amplicon_14	0	3283	100.0
15532	16258	+	amplicon_42	1	4489	100.0
16007	16719	+	amplicon_15	0	1615	99.86
16570	17343	+	amplicon_43	1	1429	100.0
17149	17854	+	amplicon_16	0	2424	100.0
17561	18311	+	amplicon_44	1	2968	100.0
18100	18899	+	amplicon_17	0	1950	100.0
18674	19402	+	amplicon_45	1	1632	100.0
19276	19981	+	amplicon_18	0	2425	100.0
19844	20632	+	amplicon_46	1	1282	100.0
20462	21226	+	amplicon_19	0	1513	100.0
20889	21608	+	amplicon_47	1	2774	100.0
21294	22098	+	amplicon_20	0	1953	98.14
21893	22649	+	amplicon_48	1	1269	99.47
22432	23225	+	amplicon_21	0	952	99.62
23103	23814	+	amplicon_49	1	233	100.0
23489	24202	+	amplicon_22	0	320	100.0
24042	24808	+	amplicon_50	1	1728	100.0
24545	25283	+	amplicon_23	0	3021	100.0
25053	25791	+	amplicon_51	1	1113	100.0
25665	26366	+	amplicon_24	0	1358	100.0
26197	26960	+	amplicon_52	1	1492	100.0
26820	27602	+	amplicon_25	0	553	100.0
27448	28199	+	amplicon_53	1	1945	100.0
27986	28723	+	amplicon_26	0	1317	98.78
28474	29232	+	amplicon_54	1	847	100.0
29101	29847	+	amplicon_27	0	1792	93.31
