start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	1906	96.98
705	1476	+	amplicon_28	1	2470	100.0
1257	1960	+	amplicon_1	0	2261	100.0
1706	2410	+	amplicon_29	1	1725	100.0
2140	2904	+	amplicon_2	0	1924	100.0
2715	3484	+	amplicon_30	1	724	100.0
3144	3885	+	amplicon_3	0	615	100.0
3685	4423	+	amplicon_31	1	672	100.0
4282	5025	+	amplicon_4	0	2949	100.0
4775	5550	+	amplicon_32	1	4553	100.0
5293	6038	+	amplicon_5	0	2550	100.0
5795	6560	+	amplicon_33	1	1679	100.0
6363	7120	+	amplicon_6	0	773	100.0
7000	7770	+	amplicon_34	1	467	100.0
7577	8328	+	amplicon_7	0	734	100.0
8174	8890	+	amplicon_35	1	266	100.0
8694	9400	+	amplicon_8	0	532	100.0
9221	9969	+	amplicon_36	1	1555	100.0
9644	10387	+	amplicon_9	0	2773	100.0
10078	10836	+	amplicon_37	1	2317	100.0
10670	11469	+	amplicon_10	0	2012	99.62
11221	11945	+	amplicon_38	1	3499	99.59
11796	12560	+	amplicon_11	0	2349	100.0
12419	13185	+	amplicon_39	1	539	85.4
13034	13832	+	amplicon_12	0	1624	99.62
13479	14203	+	amplicon_40	1	1681	100.0
14015	14787	+	amplicon_13	0	992	100.0
14620	15362	+	amplicon_41	1	1378	100.0
15089	15858	+	amplicon_14	0	3763	100.0
15532	16258	+	amplicon_42	1	4555	100.0
16007	16719	+	amplicon_15	0	1814	100.0
16570	17343	+	amplicon_43	1	2037	100.0
17149	17854	+	amplicon_16	0	3200	100.0
17561	18311	+	amplicon_44	1	3360	100.0
18100	18899	+	amplicon_17	0	1944	100.0
18674	19402	+	amplicon_45	1	1934	100.0
19276	19981	+	amplicon_18	0	2516	100.0
19844	20632	+	amplicon_46	1	1054	100.0
20462	21226	+	amplicon_19	0	1362	100.0
20889	21608	+	amplicon_47	1	2239	100.0
21294	22098	+	amplicon_20	0	1326	97.64
21893	22649	+	amplicon_48	1	802	99.08
22432	23225	+	amplicon_21	0	843	99.62
23103	23814	+	amplicon_49	1	276	100.0
23489	24202	+	amplicon_22	0	421	100.0
24042	24808	+	amplicon_50	1	1854	100.0
24545	25283	+	amplicon_23	0	2863	100.0
25053	25791	+	amplicon_51	1	1288	100.0
25665	26366	+	amplicon_24	0	2043	100.0
26197	26960	+	amplicon_52	1	1586	100.0
26820	27602	+	amplicon_25	0	599	100.0
27448	28199	+	amplicon_53	1	2309	100.0
27986	28723	+	amplicon_26	0	1620	99.73
28474	29232	+	amplicon_54	1	1183	100.0
29101	29847	+	amplicon_27	0	2087	93.31
