start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	904	96.98
705	1476	+	amplicon_28	1	1459	100.0
1257	1960	+	amplicon_1	0	1245	100.0
1706	2410	+	amplicon_29	1	1069	100.0
2140	2904	+	amplicon_2	0	1410	100.0
2715	3484	+	amplicon_30	1	649	100.0
3144	3885	+	amplicon_3	0	759	100.0
3685	4423	+	amplicon_31	1	624	100.0
4282	5025	+	amplicon_4	0	2150	100.0
4775	5550	+	amplicon_32	1	3362	100.0
5293	6038	+	amplicon_5	0	2027	100.0
5795	6560	+	amplicon_33	1	1466	100.0
6363	7120	+	amplicon_6	0	739	100.0
7000	7770	+	amplicon_34	1	455	100.0
7577	8328	+	amplicon_7	0	692	100.0
8174	8890	+	amplicon_35	1	310	100.0
8694	9400	+	amplicon_8	0	450	100.0
9221	9969	+	amplicon_36	1	1126	100.0
9644	10387	+	amplicon_9	0	2209	100.0
10078	10836	+	amplicon_37	1	1861	100.0
10670	11469	+	amplicon_10	0	1386	99.12
11221	11945	+	amplicon_38	1	2197	99.03
11796	12560	+	amplicon_11	0	1613	100.0
12419	13185	+	amplicon_39	1	362	90.87
13034	13832	+	amplicon_12	0	981	100.0
13479	14203	+	amplicon_40	1	1076	100.0
14015	14787	+	amplicon_13	0	662	100.0
14620	15362	+	amplicon_41	1	836	100.0
15089	15858	+	amplicon_14	0	2508	100.0
15532	16258	+	amplicon_42	1	3150	100.0
16007	16719	+	amplicon_15	0	1162	100.0
16570	17343	+	amplicon_43	1	1105	100.0
17149	17854	+	amplicon_16	0	1898	100.0
17561	18311	+	amplicon_44	1	1906	100.0
18100	18899	+	amplicon_17	0	1224	100.0
18674	19402	+	amplicon_45	1	1057	100.0
19276	19981	+	amplicon_18	0	1613	100.0
19844	20632	+	amplicon_46	1	791	100.0
20462	21226	+	amplicon_19	0	1023	100.0
20889	21608	+	amplicon_47	1	1659	100.0
21294	22098	+	amplicon_20	0	1113	97.76
21893	22649	+	amplicon_48	1	590	99.08
22432	23225	+	amplicon_21	0	662	99.62
23103	23814	+	amplicon_49	1	264	100.0
23489	24202	+	amplicon_22	0	381	100.0
24042	24808	+	amplicon_50	1	1337	100.0
24545	25283	+	amplicon_23	0	2107	100.0
25053	25791	+	amplicon_51	1	824	100.0
25665	26366	+	amplicon_24	0	1233	100.0
26197	26960	+	amplicon_52	1	804	100.0
26820	27602	+	amplicon_25	0	349	100.0
27448	28199	+	amplicon_53	1	1343	100.0
27986	28723	+	amplicon_26	0	827	98.78
28474	29232	+	amplicon_54	1	595	100.0
29101	29847	+	amplicon_27	0	1316	93.31
