start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	1276	96.98
705	1476	+	amplicon_28	1	1378	100.0
1257	1960	+	amplicon_1	0	1370	100.0
1706	2410	+	amplicon_29	1	890	100.0
2140	2904	+	amplicon_2	0	1029	100.0
2715	3484	+	amplicon_30	1	291	100.0
3144	3885	+	amplicon_3	0	116	100.0
3685	4423	+	amplicon_31	1	312	100.0
4282	5025	+	amplicon_4	0	2253	100.0
4775	5550	+	amplicon_32	1	3914	100.0
5293	6038	+	amplicon_5	0	1760	100.0
5795	6560	+	amplicon_33	1	963	100.0
6363	7120	+	amplicon_6	0	281	100.0
7000	7770	+	amplicon_34	1	80	99.09
7577	8328	+	amplicon_7	0	164	97.21
8174	8890	+	amplicon_35	1	70	42.96
8694	9400	+	amplicon_8	0	185	96.75
9221	9969	+	amplicon_36	1	909	100.0
9644	10387	+	amplicon_9	0	1872	100.0
10078	10836	+	amplicon_37	1	1338	100.0
10670	11469	+	amplicon_10	0	1112	99.0
11221	11945	+	amplicon_38	1	2183	98.9
11796	12560	+	amplicon_11	0	1113	96.99
12419	13185	+	amplicon_39	1	223	32.59
13034	13832	+	amplicon_12	0	705	97.37
13479	14203	+	amplicon_40	1	678	100.0
14015	14787	+	amplicon_13	0	376	100.0
14620	15362	+	amplicon_41	1	599	100.0
15089	15858	+	amplicon_14	0	2154	100.0
15532	16258	+	amplicon_42	1	2862	100.0
16007	16719	+	amplicon_15	0	985	99.72
16570	17343	+	amplicon_43	1	835	100.0
17149	17854	+	amplicon_16	0	1831	100.0
17561	18311	+	amplicon_44	1	2399	100.0
18100	18899	+	amplicon_17	0	1227	100.0
18674	19402	+	amplicon_45	1	1081	100.0
19276	19981	+	amplicon_18	0	1852	100.0
19844	20632	+	amplicon_46	1	422	100.0
20462	21226	+	amplicon_19	0	930	100.0
20889	21608	+	amplicon_47	1	1850	100.0
21294	22098	+	amplicon_20	0	805	97.64
21893	22649	+	amplicon_48	1	121	98.28
22432	23225	+	amplicon_21	0	194	99.5
23103	23814	+	amplicon_49	1	71	99.44
23489	24202	+	amplicon_22	0	122	100.0
24042	24808	+	amplicon_50	1	972	100.0
24545	25283	+	amplicon_23	0	1931	100.0
25053	25791	+	amplicon_51	1	751	100.0
25665	26366	+	amplicon_24	0	877	100.0
26197	26960	+	amplicon_52	1	495	97.12
26820	27602	+	amplicon_25	0	216	31.93
27448	28199	+	amplicon_53	1	1017	96.81
27986	28723	+	amplicon_26	0	755	98.78
28474	29232	+	amplicon_54	1	623	100.0
29101	29847	+	amplicon_27	0	1378	93.31
