start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	1368	96.98
705	1476	+	amplicon_28	1	1586	100.0
1257	1960	+	amplicon_1	0	1120	100.0
1706	2410	+	amplicon_29	1	931	100.0
2140	2904	+	amplicon_2	0	1291	100.0
2715	3484	+	amplicon_30	1	443	100.0
3144	3885	+	amplicon_3	0	345	100.0
3685	4423	+	amplicon_31	1	421	100.0
4282	5025	+	amplicon_4	0	2056	100.0
4775	5550	+	amplicon_32	1	3314	100.0
5293	6038	+	amplicon_5	0	1881	100.0
5795	6560	+	amplicon_33	1	1237	100.0
6363	7120	+	amplicon_6	0	678	100.0
7000	7770	+	amplicon_34	1	255	100.0
7577	8328	+	amplicon_7	0	357	100.0
8174	8890	+	amplicon_35	1	204	100.0
8694	9400	+	amplicon_8	0	393	100.0
9221	9969	+	amplicon_36	1	1083	100.0
9644	10387	+	amplicon_9	0	2344	100.0
10078	10836	+	amplicon_37	1	2019	100.0
10670	11469	+	amplicon_10	0	1428	99.25
11221	11945	+	amplicon_38	1	2248	99.17
11796	12560	+	amplicon_11	0	1618	96.99
12419	13185	+	amplicon_39	1	349	32.59
13034	13832	+	amplicon_12	0	999	97.37
13479	14203	+	amplicon_40	1	1070	100.0
14015	14787	+	amplicon_13	0	678	100.0
14620	15362	+	amplicon_41	1	764	100.0
15089	15858	+	amplicon_14	0	2536	100.0
15532	16258	+	amplicon_42	1	3346	100.0
16007	16719	+	amplicon_15	0	1175	99.86
16570	17343	+	amplicon_43	1	955	100.0
17149	17854	+	amplicon_16	0	1713	100.0
17561	18311	+	amplicon_44	1	1975	100.0
18100	18899	+	amplicon_17	0	1354	100.0
18674	19402	+	amplicon_45	1	1157	100.0
19276	19981	+	amplicon_18	0	1668	100.0
19844	20632	+	amplicon_46	1	634	100.0
20462	21226	+	amplicon_19	0	1056	100.0
20889	21608	+	amplicon_47	1	1933	100.0
21294	22098	+	amplicon_20	0	1392	98.01
21893	22649	+	amplicon_48	1	439	99.34
22432	23225	+	amplicon_21	0	611	99.62
23103	23814	+	amplicon_49	1	183	100.0
23489	24202	+	amplicon_22	0	257	100.0
24042	24808	+	amplicon_50	1	1414	100.0
24545	25283	+	amplicon_23	0	2424	100.0
25053	25791	+	amplicon_51	1	870	100.0
25665	26366	+	amplicon_24	0	976	100.0
26197	26960	+	amplicon_52	1	848	100.0
26820	27602	+	amplicon_25	0	454	100.0
27448	28199	+	amplicon_53	1	1549	100.0
27986	28723	+	amplicon_26	0	1010	98.78
28474	29232	+	amplicon_54	1	622	100.0
29101	29847	+	amplicon_27	0	1087	93.31
