start	stop	strand	name	score	mean coverage	recovery
41	532	+	amplicon_0	0	17569	95.93
332	825	+	amplicon_14	1	22759	100.0
657	1089	+	amplicon_1	0	15550	100.0
938	1385	+	amplicon_15	1	8284	100.0
1258	1752	+	amplicon_2	0	19010	100.0
1581	2048	+	amplicon_16	1	27000	100.0
1912	2398	+	amplicon_3	0	11584	100.0
2261	2768	+	amplicon_17	1	30077	100.0
2602	3074	+	amplicon_4	0	42990	100.0
2910	3334	+	amplicon_18	1	23372	100.0
3203	3710	+	amplicon_5	0	12542	100.0
3556	4089	+	amplicon_19	1	28740	100.0
3890	4425	+	amplicon_6	0	28994	100.0
4213	4733	+	amplicon_20	1	12958	100.0
4522	4948	+	amplicon_7	0	10386	100.0
4817	5261	+	amplicon_21	1	19520	100.0
5105	5611	+	amplicon_8	0	22437	100.0
5440	5970	+	amplicon_22	1	23514	100.0
5816	6260	+	amplicon_9	0	34433	100.0
6104	6631	+	amplicon_23	1	27688	100.0
6415	6907	+	amplicon_10	0	28709	100.0
6725	7266	+	amplicon_24	1	39266	100.0
7006	7531	+	amplicon_11	0	22476	100.0
7276	7813	+	amplicon_25	1	3189	97.03
7565	8065	+	amplicon_12	0	28	73.65
7899	8429	+	amplicon_26	1	35	93.03
8257	8757	+	amplicon_13	0	36	94.21
