start	stop	strand	name	score	mean coverage	recovery
41	532	+	amplicon_0	0	5484	95.93
332	825	+	amplicon_14	1	6930	100.0
657	1089	+	amplicon_1	0	17557	100.0
938	1385	+	amplicon_15	1	16678	100.0
1258	1752	+	amplicon_2	0	28856	100.0
1581	2048	+	amplicon_16	1	17404	100.0
1912	2398	+	amplicon_3	0	5770	100.0
2261	2768	+	amplicon_17	1	13351	100.0
2602	3074	+	amplicon_4	0	31401	100.0
2910	3334	+	amplicon_18	1	24543	100.0
3203	3710	+	amplicon_5	0	30187	100.0
3556	4089	+	amplicon_19	1	24758	100.0
3890	4425	+	amplicon_6	0	37390	100.0
4213	4733	+	amplicon_20	1	38499	100.0
4522	4948	+	amplicon_7	0	22217	100.0
4817	5261	+	amplicon_21	1	4259	100.0
5105	5611	+	amplicon_8	0	1138	100.0
5440	5970	+	amplicon_22	1	10699	100.0
5816	6260	+	amplicon_9	0	31055	100.0
6104	6631	+	amplicon_23	1	16134	100.0
6415	6907	+	amplicon_10	0	20173	100.0
6725	7266	+	amplicon_24	1	17090	100.0
7006	7531	+	amplicon_11	0	6138	100.0
7276	7813	+	amplicon_25	1	1981	100.0
7565	8065	+	amplicon_12	0	1339	100.0
7899	8429	+	amplicon_26	1	1603	100.0
8257	8757	+	amplicon_13	0	1288	96.01
