start	stop	strand	name	score	mean coverage	recovery
41	532	+	amplicon_0	0	9470	95.73
332	825	+	amplicon_14	1	29774	100.0
657	1089	+	amplicon_1	0	40451	100.0
938	1385	+	amplicon_15	1	38659	100.0
1258	1752	+	amplicon_2	0	70489	100.0
1581	2048	+	amplicon_16	1	54855	100.0
1912	2398	+	amplicon_3	0	19690	100.0
2261	2768	+	amplicon_17	1	32564	100.0
2602	3074	+	amplicon_4	0	57210	100.0
2910	3334	+	amplicon_18	1	43538	100.0
3203	3710	+	amplicon_5	0	49404	100.0
3556	4089	+	amplicon_19	1	44211	100.0
3890	4425	+	amplicon_6	0	57841	100.0
4213	4733	+	amplicon_20	1	62561	100.0
4522	4948	+	amplicon_7	0	49471	100.0
4817	5261	+	amplicon_21	1	17687	100.0
5105	5611	+	amplicon_8	0	3255	100.0
5440	5970	+	amplicon_22	1	12382	100.0
5816	6260	+	amplicon_9	0	33806	100.0
6104	6631	+	amplicon_23	1	23095	100.0
6415	6907	+	amplicon_10	0	27782	100.0
6725	7266	+	amplicon_24	1	26491	100.0
7006	7531	+	amplicon_11	0	11925	100.0
7276	7813	+	amplicon_25	1	4849	100.0
7565	8065	+	amplicon_12	0	3465	100.0
7899	8429	+	amplicon_26	1	4828	100.0
8257	8757	+	amplicon_13	0	4194	96.01
